City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
427,durban,-29.8579,31.0292,27.79,83,11,2.68,ZA,1678370031
428,liku,-0.7275,119.8922,23.89,93,96,0.5,ID,1678370316
429,buraydah,26.326,43.975,24.25,24,90,4.02,SA,1678370316
430,launceston,-41.45,147.1667,14.33,83,65,5.66,AU,1678370137
431,ixtapa,20.7,-105.2,19.57,88,100,2.57,MX,1678370317
432,ucluelet,48.9329,-125.5528,5.61,75,81,4.9,CA,1678370317
433,sisimiut,66.9395,-53.6735,-10.85,80,4,4.11,GL,1678370317
434,nouadhibou,20.931,-17.0347,29.99,21,0,4.63,MR,1678370317
435,ulaanbaatar,47.9077,106.8832,0.07,93,40,2.0,MN,1678369698
436,ewa beach,21.3156,-158.0072,21.12,69,87,8.36,US,1678370317
437,moroni,-11.7022,43.2551,28.61,73,98,5.96,KM,1678370318
438,san andres,12.5847,-81.7006,27.01,69,20,4.12,CO,1678370318
439,wangqing,43.3218,129.7634,0.3,93,100,1.24,CN,1678370318
440,tucuman,-26.8241,-65.2226,28.0,69,0,0.51,AR,1678370318
441,san lucas,16.6,-92.7167,22.72,77,32,0.72,MX,1678370318
442,pulandian,39.3953,121.9669,5.96,78,8,2.79,CN,1678370319
443,sri aman,1.2376,111.4621,25.03,94,68,2.06,MY,1678370319
444,sahiwal,30.6667,73.1,24.07,17,0,2.09,PK,1678370319
445,berlevag,70.8578,29.0864,-5.03,50,75,11.32,NO,1678370319
446,faya,18.3851,42.4509,19.29,46,4,4.56,SA,1678370319
447,humberto de campos,-2.5983,-43.4611,30.25,61,20,3.3,BR,1678370319
448,yanam,16.7333,82.2167,24.77,71,100,1.78,IN,1678370319
449,cockburn town,21.4612,-71.1419,23.98,53,40,4.63,TC,1678370320
450,dalby,-27.1833,151.2667,20.55,92,100,2.63,AU,1678370320
451,san pedro de ycuamandiyu,-24.0917,-57.0764,28.42,71,100,1.82,PY,1678370320
452,biak,-0.9131,122.8766,24.71,85,87,0.69,ID,1678370321
453,villa carlos paz,-31.4241,-64.4978,32.25,38,0,6.54,AR,1678370163
454,bismarck,46.8083,-100.7837,-9.52,89,100,5.14,US,1678370322
455,ust-tsilma,65.441,52.1498,-4.58,95,100,3.97,RU,1678370322
456,nueva loja,0.0847,-76.8828,24.01,94,100,1.54,EC,1678370322
457,road town,18.4167,-64.6167,27.02,74,40,3.09,VG,1678370322
458,umm kaddadah,13.6017,26.6876,33.71,8,42,9.06,SD,1678370322
459,kholodnyy,62.7167,147.95,-36.18,100,89,0.83,RU,1678370322
460,mianyang,31.4593,104.7542,18.73,57,100,1.97,CN,1678370322
461,beringovskiy,63.05,179.3167,-6.97,98,78,5.25,RU,1678370323
462,moron,-34.6534,-58.6198,29.4,72,0,3.45,AR,1678370323
463,alofi,-19.0595,-169.9187,24.94,94,100,5.14,NU,1678370323
464,mosquera,4.7059,-74.2302,12.05,94,75,1.54,CO,1678370323
465,cascais,38.6979,-9.4215,20.28,88,75,9.39,PT,1678370123
